,team1Player1,team1Player2,team1Player3,team1Player4,team1Player5,team1Player6,team1Player7,team1Player8,team1Player9,team1Player10,team1Player11,team1Player12,team1Player13,team1Player14,team1Player15,team1Player16,team1Player17,team1Player18,team1Golie1,team2Player1,team2Player2,team2Player3,team2Player4,team2Player5,team2Player6,team2Player7,team2Player8,team2Player9,team2Player10,team2Player11,team2Player12,team2Player13,team2Player14,team2Player15,team2Player16,team2Player17,team2Player18,team2Golie1,score
501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,A. Anisimov,S. Avery,D. Boogaard,B. Boyle,R. Callahan,E. Christensen,B. Dubinsky,R. Fedotenko,A. Frolov,M. Gaborik,B. Prust,D. Stepan,M. Del Zotto,S. Eminger,D. Girardi,M. Rozsival,M. Sauer,M. Staal,H. Lundqvist,T. Connolly,T. Ennis,P. Gaustad,N. Gerbe,M. Grier,J. Hecht,P. Kaleta,R. Niedermayer,J. Pominville,D. Roy,D. Stafford,T. Vanek,J. Leopold,S. Montador,S. Morrisonn,T. Myers,C. Rivet,A. Sekera,R. Miller,0.0
509,D. Boyd,M. Cammalleri,L. Eller,B. Gionta,S. Gomez,J. Halpern,A. Kostitsyn,M. Lapierre,T. Moen,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. O'Byrne,A. Picard,J. Spacek,P.K. Subban,C. Price,C. Adams,M. Comrie,M. Cooke,S. Crosby,P. Dupuis,T. Kennedy,C. Kunitz,M. Letestu,E. Malkin,M. Rupp,M. Talbot,E. Tangradi,A. Goligoski,K. Letang,B. Lovejoy,P. Martin,Z. Michalek,B. Orpik,M. Fleury,0.0
510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,D. Brown,K. Clifford,M. Handzus,A. Kopitar,A. Ponikarovsky,B. Richardson,B. Schenn,W. Simmonds,R. Smyth,J. Stoll,K. Westgarth,J. Williams,D. Doughty,D. Drewiske,J. Johnson,W. Mitchell,J. Muzzin,R. Scuderi,J. Quick,A. Bolduc,G. Desbiens,T. Glass,J. Hansen,R. Kesler,M. Malhotra,M. Raymond,M. Samuelsson,P. Schaefer,D. Sedin,H. Sedin,R. Torres,A. Alberts,K. Ballard,K. Bieksa,A. Edler,C. Ehrhoff,D. Hamhuis,R. Luongo,0.0
519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,M. Duchene,P. Dupuis,T.J. Galiardi,M. Hejduk,D. Jones,C. McLeod,R. O'Reilly,K. Porter,P. Stastny,C. Stewart,D. Winnik,B. Yip,K. Cumiskey,A. Foote,S. Hannan,J. Liles,K. Quincey,R. Wilson,C. Anderson,B. Betts,D. Briere,D. Carcillo,J. Carter,C. Giroux,S. Hartnell,V. Leino,D. Powe,M. Richards,J. Shelley,N. Zherdev,J. van Riemsdyk,M. Carle,B. Coburn,A. Meszaros,S. O'Donnell,C. Pronger,K. Timonen,S. Bobrovsky,1.0
525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,B. Bickell,D. Bolland,T. Brouwer,J. Dowell,M. Hossa,P. Kane,T. Kopecky,F. Pisani,J. Scott,P. Sharp,J. Skille,V. Stalberg,J. Toews,N. Boynton,N. Hjalmarsson,D. Keith,N. Leddy,B. Seabrook,C. Crawford,T. Connolly,T. Ennis,P. Gaustad,M. Grier,J. Hecht,P. Kaleta,C. McCormick,R. Niedermayer,J. Pominville,D. Roy,D. Stafford,T. Vanek,J. Leopold,S. Montador,S. Morrisonn,T. Myers,C. Rivet,A. Sekera,R. Miller,0.0
528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,S. Bergenheim,S. Downie,S. Gagne,A. Hall,V. Lecavalier,R. Malone,D. Moore,T. Purcell,M. St. Louis,S. Stamkos,N. Thompson,D. Tyrell,B. Clark,V. Hedman,R. Jones,P. Kubina,M. Lundin,M. Vernace,M. Smith,D. Boyd,M. Cammalleri,L. Eller,B. Gionta,S. Gomez,J. Halpern,A. Kostitsyn,M. Lapierre,T. Moen,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,R. O'Byrne,J. Spacek,P.K. Subban,C. Price,0.0
533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,D. Boyd,M. Cammalleri,L. Eller,B. Gionta,S. Gomez,J. Halpern,A. Kostitsyn,M. Lapierre,T. Moen,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Picard,J. Spacek,P.K. Subban,C. Price,T. Connolly,T. Ennis,P. Gaustad,N. Gerbe,M. Grier,J. Hecht,P. Kaleta,C. McCormick,R. Niedermayer,D. Roy,D. Stafford,T. Vanek,C. Butler,J. Leopold,S. Montador,T. Myers,C. Rivet,A. Sekera,R. Miller,0.0
546,G. Desbiens,T. Glass,J. Hansen,R. Kesler,M. Malhotra,M. Raymond,R. Rypien,M. Samuelsson,P. Schaefer,D. Sedin,H. Sedin,R. Torres,A. Alberts,K. Ballard,K. Bieksa,A. Edler,C. Ehrhoff,D. Hamhuis,R. Luongo,D. Brown,M. Handzus,A. Kopitar,A. Loktionov,A. Ponikarovsky,B. Richardson,B. Schenn,W. Simmonds,R. Smyth,J. Stoll,K. Westgarth,J. Williams,D. Doughty,D. Drewiske,J. Johnson,W. Mitchell,J. Muzzin,R. Scuderi,J. Quick,1.0
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,D. Bowman,E. Cole,P. Dwyer,J. Jokinen,T. Kostopoulos,C. LaRose,P. O'Sullivan,T. Ruutu,S. Samsonov,J. Skinner,E. Staal,B. Sutter,A. Babchuk,J. Corvo,T. Gleason,J. Harrison,J. McBain,J. Pitkanen,C. Ward,G. Desbiens,T. Glass,J. Hansen,R. Kesler,M. Malhotra,M. Raymond,M. Samuelsson,P. Schaefer,D. Sedin,H. Sedin,J. Tambellini,R. Torres,A. Alberts,K. Bieksa,A. Edler,C. Ehrhoff,D. Hamhuis,A. Rome,C. Schneider,1.0
564,M. Duchene,P. Dupuis,T.J. Galiardi,M. Hejduk,D. Jones,C. McLeod,R. O'Reilly,K. Porter,P. Stastny,C. Stewart,D. Winnik,K. Cumiskey,A. Foote,S. Hannan,J. Holos,J. Liles,K. Quincey,R. Wilson,C. Anderson,A. Anisimov,S. Avery,D. Boogaard,B. Boyle,R. Callahan,E. Christensen,B. Dubinsky,R. Fedotenko,A. Frolov,B. Prust,D. Stepan,T. White,M. Del Zotto,S. Eminger,M. Gilroy,D. Girardi,M. Rozsival,M. Staal,H. Lundqvist,0.0
565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,P. Bergeron,G. Campbell,J. Caron,N. Horton,D. Krejci,M. Lucic,B. Marchand,M. Recchi,M. Ryder,T. Seguin,S. Thornton,B. Wheeler,J. Boychuk,Z. Chara,A. Ference,M. Hunwick,D. Seidenberg,M. Stuart,N. Backstrom,J. Chimera,E. Fehr,T. Fleischmann,M. Hendricks,M. Johansson,D.J. King,M. Knuble,B. Laich,A. Ovechkin,A. Semin,T. Sloan,D. Steckel,K. Alzner,J. Carlson,J. Erskine,T. Poti,J. Schultz,S. Varlamov,M. Neuvirth,0.0
569,G. Desbiens,T. Glass,J. Hansen,R. Kesler,M. Malhotra,M. Raymond,R. Rypien,M. Samuelsson,P. Schaefer,D. Sedin,H. Sedin,R. Torres,A. Alberts,K. Bieksa,A. Edler,C. Ehrhoff,R. Parent,A. Rome,C. Schneider,R. Luongo,K. Brodziak,A. Brunette,C. Clutterbuck,M. Cullen,M. Havlat,C. Kobasew,M. Koivu,G. Latendresse,J. Madden,A. Miettinen,E. Nystrom,B. Staubitz,C. Barker,B. Burns,J. Falk,N. Schultz,G. Zanon,M. Zidlicky,1.0
570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,N. Backstrom,J. Chimera,E. Fehr,T. Fleischmann,M. Hendricks,M. Johansson,D.J. King,M. Knuble,B. Laich,A. Ovechkin,A. Semin,T. Sloan,D. Steckel,K. Alzner,J. Carlson,J. Erskine,T. Poti,J. Schultz,S. Varlamov,M. Neuvirth,P. Bergeron,G. Campbell,J. Caron,N. Horton,D. Krejci,M. Lucic,B. Marchand,M. Recchi,M. Ryder,T. Seguin,S. Thornton,B. Wheeler,J. Boychuk,Z. Chara,A. Ference,M. Hunwick,D. Seidenberg,M. Stuart,1.0
577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,M. Beleskey,J. Blake,T. Bodie,R. Carter,R. Getzlaf,S. Koivu,T. Marchant,G. Parros,C. Perry,B. Ryan,T. Selanne,D. Sexton,S. Brookbank,A. Lilja,T. Lydman,P. Mara,D. Syvret,L. Visnovsky,C. McElhinney,B. Betts,D. Briere,J. Carter,C. Giroux,S. Hartnell,V. Leino,A. Nodl,D. Powe,M. Richards,J. Shelley,N. Zherdev,J. van Riemsdyk,M. Carle,B. Coburn,A. Meszaros,S. O'Donnell,C. Pronger,K. Timonen,S. Bobrovsky,0.0
583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,C. Adams,M. Comrie,M. Cooke,S. Crosby,P. Dupuis,T. Kennedy,C. Kunitz,M. Letestu,E. Malkin,M. Rupp,M. Talbot,E. Tangradi,D. Engelland,A. Goligoski,A. Hutchinson,K. Letang,B. Lovejoy,P. Martin,M. Fleury,J.P. Dumont,M. Erat,P. Hornqvist,S. Kostitsyn,D. Legwand,C. O'Reilly,J. Smithson,N. Spaling,S. Sullivan,J. Tootoo,J. Ward,C. Wilson,F. Bouillon,C. Franson,K. Klein,S. O'Brien,A. Sulzer,S. Weber,P. Rinne,0.0
586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,D. Alfredsson,M. Fisher,N. Foligno,C. Kelly,A. Kovalev,M. Michalek,C. Neil,P. Regin,J. Ruutu,R. Shannon,J. Winchester,C. Campoli,M. Carkner,S. Gonchar,D. Hale,E. Karlsson,B. Lee,C. Phillips,B. Elliott,T. Connolly,T. Ennis,P. Gaustad,N. Gerbe,M. Grier,J. Hecht,P. Kaleta,C. McCormick,R. Niedermayer,D. Roy,D. Stafford,T. Vanek,C. Butler,J. Leopold,S. Montador,T. Myers,C. Rivet,A. Sekera,R. Miller,0.0
591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,A. Anisimov,S. Avery,D. Boogaard,B. Boyle,R. Callahan,E. Christensen,B. Dubinsky,R. Fedotenko,A. Frolov,B. Prust,D. Stepan,T. White,M. Del Zotto,M. Gilroy,D. Girardi,M. Rozsival,M. Sauer,M. Staal,H. Lundqvist,P. Bergeron,G. Campbell,J. Caron,N. Horton,D. Krejci,M. Lucic,B. Marchand,M. Recchi,M. Ryder,T. Seguin,S. Thornton,B. Wheeler,J. Boychuk,Z. Chara,A. Ference,M. Hunwick,D. Seidenberg,M. Stuart,T. Rask,0.0
593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,D. Brown,M. Handzus,A. Kopitar,A. Loktionov,A. Ponikarovsky,B. Richardson,B. Schenn,W. Simmonds,R. Smyth,J. Stoll,K. Westgarth,J. Williams,D. Drewiske,M. Greene,P. Harrold,J. Johnson,W. Mitchell,R. Scuderi,J. Quick,M. Duchene,T.J. Galiardi,M. Hejduk,D. Jones,C. McLeod,R. O'Reilly,K. Porter,P. Stastny,C. Stewart,D. Van der Gulik,D. Winnik,B. Yip,K. Cumiskey,S. Hannan,J. Holos,J. Liles,K. Quincey,R. Wilson,C. Anderson,0.0
598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,M. Beleskey,J. Blake,T. Bodie,R. Carter,K. Chipchura,R. Getzlaf,S. Koivu,T. Marchant,C. Perry,B. Ryan,T. Selanne,D. Sexton,S. Brookbank,A. Lilja,T. Lydman,P. Mara,D. Syvret,L. Visnovsky,C. McElhinney,T. Bertuzzi,D. Cleary,P. Datsyuk,P. Eaves,V. Filppula,J. Franzen,D. Helm,T. Holmstrom,J. Hudler,D. Miller,M. Modano,H. Zetterberg,D. Janik,J. Kindl,N. Kronwall,N. Lidstrom,R. Salei,B. Stuart,J. Howard,1.0
600,M. Cammalleri,M. Darche,L. Eller,B. Gionta,S. Gomez,J. Halpern,A. Kostitsyn,M. Lapierre,T. Moen,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Picard,J. Spacek,P.K. Subban,C. Price,D. Alfredsson,M. Fisher,N. Foligno,C. Kelly,A. Kovalev,M. Michalek,C. Neil,P. Regin,J. Ruutu,R. Shannon,Z. Smith,J. Winchester,C. Campoli,M. Carkner,S. Gonchar,D. Hale,E. Karlsson,C. Phillips,B. Elliott,0.0
601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,L. Adam,T. Connolly,T. Ennis,P. Gaustad,N. Gerbe,M. Grier,J. Hecht,P. Kaleta,C. McCormick,D. Roy,D. Stafford,T. Vanek,C. Butler,J. Leopold,S. Montador,T. Myers,C. Rivet,M. Weber,R. Miller,B. Betts,D. Briere,J. Carter,C. Giroux,S. Hartnell,V. Leino,A. Nodl,D. Powe,M. Richards,J. Shelley,N. Zherdev,J. van Riemsdyk,M. Carle,B. Coburn,A. Meszaros,S. O'Donnell,C. Pronger,K. Timonen,S. Bobrovsky,1.0
613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,C. Adams,A. Asham,M. Comrie,M. Cooke,S. Crosby,P. Dupuis,T. Kennedy,C. Kunitz,M. Letestu,E. Malkin,M. Rupp,M. Talbot,D. Engelland,A. Goligoski,K. Letang,B. Lovejoy,P. Martin,B. Orpik,M. Fleury,S. Bergenheim,S. Downie,A. Hall,V. Lecavalier,R. Malone,T. Purcell,M. Ritola,M. St. Louis,S. Stamkos,N. Thompson,D. Tyrell,B. Clark,V. Hedman,R. Jones,P. Kubina,M. Lundin,M. Ohlund,M. Vernace,M. Smith,1.0
622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,D. Backes,P. Berglund,B. Boyes,B.J. Crombeen,M. D'Agostini,J. McClement,A. McDonald,T.J. Oshie,D. Perron,V. Sobotka,A. Steen,B. Winchester,E. Brewer,C. Colaiacovo,B. Jackman,E. Johnson,A. Pietrangelo,T. Strachan,J. Halak,J.P. Dumont,M. Erat,P. Hornqvist,S. Kostitsyn,D. Legwand,C. O'Reilly,J. Smithson,N. Spaling,S. Sullivan,J. Tootoo,J. Ward,C. Wilson,F. Bouillon,C. Franson,K. Klein,S. O'Brien,A. Sulzer,S. Weber,P. Rinne,0.0
626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,B. Betts,D. Briere,D. Carcillo,J. Carter,C. Giroux,S. Hartnell,V. Leino,A. Nodl,D. Powe,M. Richards,J. Shelley,J. van Riemsdyk,M. Carle,B. Coburn,A. Meszaros,S. O'Donnell,C. Pronger,K. Timonen,S. Bobrovsky,C. Adams,A. Asham,M. Comrie,M. Cooke,S. Crosby,P. Dupuis,T. Kennedy,C. Kunitz,M. Letestu,E. Malkin,M. Rupp,M. Talbot,D. Engelland,A. Goligoski,K. Letang,B. Lovejoy,P. Martin,B. Orpik,M. Fleury,0.0
633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,E. Cole,P. Dwyer,J. Jokinen,T. Kostopoulos,C. LaRose,P. O'Sullivan,T. Ruutu,S. Samsonov,J. Skinner,E. Staal,B. Sutter,J. Tlusty,A. Babchuk,J. Corvo,T. Gleason,J. Harrison,J. McBain,J. Pitkanen,C. Ward,A. Anisimov,S. Avery,B. Boyle,R. Callahan,E. Christensen,B. Dubinsky,R. Fedotenko,A. Frolov,E. Grachev,B. Prust,D. Stepan,T. White,M. Del Zotto,S. Eminger,M. Gilroy,D. Girardi,M. Rozsival,M. Staal,H. Lundqvist,0.0
635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,A. Anisimov,S. Avery,D. Boogaard,B. Boyle,R. Callahan,E. Christensen,B. Dubinsky,R. Fedotenko,A. Frolov,E. Grachev,B. Prust,D. Stepan,M. Del Zotto,S. Eminger,D. Girardi,M. Rozsival,M. Sauer,M. Staal,H. Lundqvist,B. Betts,D. Carcillo,J. Carter,C. Giroux,S. Hartnell,V. Leino,D. Powe,M. Richards,J. Shelley,E. Wellwood,N. Zherdev,J. van Riemsdyk,M. Carle,B. Coburn,A. Meszaros,S. O'Donnell,C. Pronger,K. Timonen,S. Bobrovsky,1.0
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,R. Clowe,L. Couture,D. Heatley,P. Marleau,J. Mayers,J. McGinn,F. McLaren,T. Mitchell,S. Nichol,J. Pavelski,D. Setoguchi,J. Thornton,D. Boyle,J. Demers,K. Huskins,D. Murray,M. Vlasic,N. Wallin,A. Niemi,D. Backes,P. Berglund,B. Boyes,B.J. Crombeen,M. D'Agostini,J. McClement,A. McDonald,T.J. Oshie,D. Perron,V. Sobotka,A. Steen,B. Winchester,E. Brewer,B. Jackman,E. Johnson,N. Oystrick,A. Pietrangelo,T. Strachan,J. Halak,1.0
671,S. Bergenheim,S. Downie,A. Hall,B. Jones,V. Lecavalier,R. Malone,T. Purcell,M. Ritola,M. St. Louis,S. Stamkos,N. Thompson,D. Tyrell,B. Clark,R. Jones,P. Kubina,M. Lundin,M. Ohlund,M. Roy,M. Smith,D. Brown,K. Clifford,M. Handzus,A. Kopitar,T. Lewis,S. Parse,A. Ponikarovsky,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,D. Drewiske,M. Greene,J. Johnson,W. Mitchell,R. Scuderi,J. Quick,1.0
